agent0,45,local
agent2,72,local
agent1,17,local
agent0,61,local
agent2,83,local
agent1,11,local
agent0,21,local
agent2,84,local
agent1,62,local
agent0,55,local
agent2,16,local
agent1,8,local
agent0,31,local
agent2,21,local
agent1,23,local
agent0,82,local
agent2,55,local
agent1,11,local
agent0,45,local
agent2,0,local
agent1,4,local
agent0,42,local
agent2,90,local
agent1,77,local
agent0,5,local
agent2,63,local
agent1,48,local
agent0,59,local
agent2,6,local
agent1,49,local
agent0,53,local
agent2,4,local
agent1,61,local
agent0,99,local
agent2,10,local
agent1,78,local
agent0,34,local
agent2,18,local
agent1,16,local
agent0,1,local
agent2,28,local
agent1,65,local
agent0,44,local
agent2,20,local
agent1,79,local
agent0,91,local
agent2,4,local
agent1,65,local
agent0,60,local
agent2,71,local
agent1,40,local
agent0,35,local
agent0,53,local
agent2,83,local
agent1,83,local
agent0,99,local
agent2,9,local
agent1,36,local
agent0,31,local
agent2,21,local
agent1,15,local
agent0,11,local
agent2,84,local
agent1,60,local
agent0,61,local
agent2,16,local
agent2,40,local
agent1,69,local
agent0,69,local
agent2,19,local
agent1,31,local
agent0,10,local
agent0,5,local
agent2,84,local
agent1,84,local
agent0,23,local
agent2,11,local
agent1,81,local
agent0,43,local
agent2,53,local
agent1,82,local
agent0,88,local
agent2,60,local
agent1,51,local
agent0,47,local
agent2,16,local
agent1,49,local
agent0,18,local
agent2,8,local
agent1,78,local
agent0,1,local
agent2,66,local
agent1,60,local
agent0,10,local
agent2,73,local
agent1,13,local
agent0,98,local
agent2,82,local
agent1,41,local
agent0,48,local
agent2,34,local
agent1,12,local
agent0,88,local
agent2,61,local
agent1,81,local
agent0,34,local
agent2,38,local
agent1,60,local
agent0,57,local
agent2,66,local
agent1,48,local
agent0,50,local
agent0,50,global
agent2,4,local
agent1,52,local
agent0,44,local
agent2,44,local
agent1,64,local
agent0,49,local
agent2,16,local
agent1,57,local
agent1,57,global
agent0,41,local
agent2,92,local
agent1,65,local
agent0,77,local
agent2,76,local
agent2,76,global
agent1,97,local
agent0,19,local
agent2,79,local
agent1,28,local
agent0,87,local
agent2,42,local
agent1,20,local
agent0,41,local
agent2,57,local
agent1,61,local
agent0,63,local
agent2,92,local
agent1,91,local
agent0,7,local
agent2,55,local
agent1,6,local
agent0,93,local
agent2,2,local
agent1,60,local
agent0,31,local
agent2,25,local
agent1,6,local
agent0,33,local
agent2,67,local
agent1,32,local
agent0,54,local
agent2,14,local
agent1,6,local
agent0,60,local
agent2,95,local
agent0,26,local
agent1,66,local
agent2,19,local
agent0,1,local
agent1,71,local
agent2,10,local
agent0,59,local
agent1,90,local
agent2,4,local
agent1,24,local
agent0,32,local
agent2,32,local
agent1,3,local
agent0,17,local
agent2,43,local
agent1,2,local
agent0,93,local
agent2,36,local
agent1,80,local
agent0,13,local
agent2,41,local
agent1,40,local
agent0,36,local
agent2,63,local
agent1,48,local
agent0,7,local
agent2,14,local
agent1,36,local
agent0,71,local
agent2,5,local
agent1,22,local
agent0,59,local
agent2,23,local
agent1,14,local
agent0,7,local
agent2,15,local
agent1,39,local
agent0,76,local
agent2,30,local
agent1,81,local
agent0,69,local
agent2,24,local
agent0,40,local
agent1,24,local
agent2,3,local
agent2,77,local
agent0,59,local
agent1,59,local
agent2,78,local
agent1,76,local
agent0,45,local
agent2,26,local
agent1,84,local
agent0,17,local
agent2,19,local
agent1,78,local
agent0,2,local
agent2,98,local
agent1,56,local
agent0,39,local
agent2,13,local
agent1,84,local
agent0,69,local
agent2,95,local
agent1,21,local
agent0,65,local
agent2,20,local
agent1,13,local
agent0,43,local
agent2,24,local
agent1,40,local
agent2,36,local
agent0,28,local
agent1,93,local
agent1,78,local
agent2,60,local
agent0,60,local
agent1,54,local
agent2,84,local
agent0,12,local
agent1,47,local
agent2,62,local
agent0,56,local
agent1,24,local
agent2,48,local
agent0,29,local
agent1,31,local
agent2,95,local
agent0,69,local
agent1,91,local
agent2,33,local
agent0,1,local
agent1,27,local
agent2,4,local
agent0,7,local
agent1,42,local
agent2,48,local
agent0,64,local
agent1,94,local
agent2,44,local
agent0,36,local
agent1,76,local
agent2,6,local
agent0,22,local
agent1,23,local
agent2,52,local
agent0,94,local
agent1,33,local
agent2,37,local
agent2,94,local
agent0,24,local
agent1,24,local
agent2,63,local
agent0,66,local
agent0,66,global
agent1,13,local
agent2,39,local
agent0,5,local
agent1,14,local
agent1,14,global
agent2,17,local
agent2,17,global
agent0,25,local
agent1,96,local
agent2,35,local
agent0,82,local
agent1,89,local
agent2,71,local
agent0,37,local
agent1,10,local
agent2,36,local
agent0,24,local
agent1,84,local
agent2,17,local
agent0,85,local
agent1,69,local
agent2,2,local
agent0,51,local
agent1,55,local
agent0,99,local
agent2,18,local
agent1,18,local
agent0,17,local
agent2,52,local
agent1,98,local
agent2,96,local
agent0,57,local
agent1,57,local
agent2,6,local
agent0,19,local
agent1,61,local
agent2,57,local
agent0,49,local
agent1,25,local
agent2,58,local
agent0,16,local
agent1,33,local
agent2,60,local
agent0,10,local
agent1,79,local
agent2,32,local
agent0,41,local
agent1,67,local
agent2,4,local
agent0,83,local
agent1,15,local
agent2,75,local
agent0,47,local
agent1,4,local
agent2,11,local
agent0,82,local
agent1,21,local
agent2,26,local
agent0,14,local
agent1,52,local
agent2,32,local
agent0,78,local
agent1,3,local
agent0,7,local
agent2,23,local
agent1,23,local
agent0,16,local
agent2,91,local
agent1,49,local
agent0,46,local
agent2,85,local
agent1,15,local
agent0,50,local
agent2,64,local
agent1,9,local
agent0,49,local
agent2,88,local
agent1,82,local
agent0,76,local
agent2,56,local
agent1,4,local
agent0,15,local
agent2,98,local
agent1,27,local
agent0,89,local
agent2,34,local
agent1,96,local
agent0,42,local
agent2,6,local
agent1,59,local
agent0,93,local
agent2,4,local
agent1,6,local
agent0,12,local
agent2,6,local
agent1,21,local
agent0,65,local
agent1,8,local
agent2,47,local
agent0,50,local
agent1,21,local
agent2,49,local
agent0,93,local
agent1,35,local
agent2,59,local
agent0,71,local
agent1,89,local
agent2,34,local
agent0,80,local
agent1,80,local
agent2,53,local
agent0,16,local
agent1,2,local
agent2,99,local
agent0,60,local
agent0,94,local
agent1,15,local
agent2,15,local
agent0,18,local
agent1,17,local
agent2,48,local
agent0,96,local
agent0,7,local
agent1,79,local
agent2,79,local
agent0,0,local
agent1,83,local
agent2,5,local
agent0,40,local
agent1,27,local
agent2,29,local
agent0,5,local
agent1,78,local
agent0,18,local
agent2,37,local
agent1,37,local
agent0,30,local
agent2,63,local
agent1,40,local
agent0,2,local
agent2,1,local
agent1,91,local
agent0,18,local
agent2,63,local
agent1,72,local
agent0,59,local
agent2,68,local
agent1,58,local
agent0,87,local
agent0,87,global
agent2,57,local
agent1,51,local
agent0,7,local
agent2,83,local
agent1,94,local
agent0,51,local
agent2,55,local
agent1,56,local
agent0,61,local
agent2,98,local
agent1,43,local
agent1,43,global
agent0,84,local
agent2,75,local
agent1,4,local
agent0,93,local
agent2,72,local
agent2,72,global
agent1,75,local
agent0,39,local
agent2,24,local
agent1,15,local
agent0,67,local
agent2,53,local
agent1,50,local
agent0,77,local
agent2,73,local
agent1,20,local
agent0,19,local
agent2,54,local
agent1,60,local
agent0,45,local
agent2,26,local
agent1,98,local
agent0,0,local
agent2,57,local
agent1,74,local
agent0,75,local
agent2,3,local
agent1,68,local
agent0,65,local
agent2,71,local
agent0,88,local
agent1,30,local
agent2,30,local
agent0,42,local
agent1,75,local
agent2,20,local
agent0,67,local
agent1,82,local
agent2,24,local
agent0,94,local
agent1,49,local
agent2,21,local
agent0,28,local
agent1,48,local
agent2,57,local
agent0,25,local
agent1,6,local
agent2,27,local
agent0,82,local
agent1,70,local
agent2,60,local
agent0,96,local
agent1,59,local
agent2,16,local
agent0,95,local
agent1,67,local
agent2,20,local
agent0,41,local
agent1,30,local
agent2,67,local
agent0,19,local
agent1,85,local
agent2,48,local
agent0,28,local
agent1,77,local
agent2,65,local
agent0,84,local
agent1,46,local
agent2,88,local
agent0,2,local
agent1,36,local
agent2,98,local
agent0,69,local
agent1,42,local
agent2,63,local
agent0,77,local
agent1,19,local
agent2,26,local
agent0,66,local
agent1,82,local
agent2,32,local
agent0,74,local
agent1,79,local
agent2,0,local
agent0,53,local
agent1,36,local
agent2,95,local
agent0,99,local
agent1,80,local
agent2,2,local
agent0,18,local
agent1,3,local
agent2,60,local
agent0,34,local
agent1,55,local
agent2,76,local
agent0,59,local
agent1,14,local
agent2,82,local
agent0,25,local
agent1,78,local
agent2,48,local
agent0,75,local
agent1,52,local
agent2,99,local
agent0,59,local
agent1,70,local
agent2,44,local
agent0,67,local
agent1,3,local
agent2,53,local
agent0,50,local
agent1,15,local
agent2,32,local
agent0,9,local
agent1,47,local
agent2,53,local
agent0,35,local
agent1,18,local
agent2,56,local
agent0,70,local
agent1,22,local
agent2,31,local
agent0,29,local
agent1,56,local
agent2,93,local
agent0,16,local
agent1,49,local
agent1,83,local
agent2,29,local
agent0,29,local
agent1,97,local
agent2,89,local
agent0,0,local
agent1,36,local
agent2,0,local
agent0,81,local
agent1,84,local
agent2,86,local
agent0,26,local
agent1,93,local
agent2,15,local
agent0,3,local
agent0,3,global
agent1,45,local
agent2,29,local
agent0,26,local
agent1,5,local
agent2,62,local
agent0,76,local
agent1,50,local
agent2,3,local
agent0,11,local
agent1,88,local
agent1,88,global
agent2,68,local
agent0,32,local
agent1,17,local
agent2,52,local
agent0,47,local
agent1,62,local
agent2,34,local
agent2,34,global
agent0,60,local
agent1,79,local
agent2,83,local
agent0,17,local
agent1,83,local
agent2,23,local
agent0,51,local
agent1,11,local
agent2,17,local
agent0,0,local
agent1,39,local
agent2,69,local
agent0,74,local
agent1,30,local
agent2,72,local
agent0,61,local
agent1,31,local
agent2,87,local
agent0,66,local
agent1,70,local
agent2,68,local
agent0,60,local
agent1,23,local
agent2,48,local
agent0,76,local
agent1,13,local
agent2,95,local
agent0,26,local
agent1,45,local
agent2,82,local
agent0,91,local
agent1,50,local
agent2,75,local
agent0,84,local
agent1,22,local
agent2,88,local
agent0,86,local
agent1,44,local
agent2,35,local
agent0,61,local
agent1,11,local
agent2,93,local
agent0,74,local
agent1,30,local
agent2,40,local
agent0,85,local
agent1,0,local
agent2,53,local
agent0,1,local
agent1,12,local
agent2,83,local
agent0,11,local
agent1,45,local
agent2,4,local
agent0,49,local
agent1,3,local
agent2,45,local
agent0,58,local
agent1,62,local
agent2,65,local
agent0,27,local
agent1,97,local
agent2,29,local
agent0,60,local
agent1,80,local
agent2,98,local
agent0,27,local
agent1,22,local
agent2,60,local
agent0,36,local
agent1,89,local
agent2,1,local
agent0,31,local
agent1,70,local
agent2,19,local
agent0,72,local
agent1,94,local
agent2,0,local
agent0,88,local
agent1,95,local
agent2,14,local
agent0,18,local
agent1,96,local
agent2,26,local
agent0,52,local
agent1,11,local
agent2,47,local
agent0,14,local
agent1,51,local
agent2,28,local
agent1,35,local
agent0,28,local
agent2,16,local
agent1,46,local
agent0,30,local
agent2,71,local
agent1,32,local
agent0,11,local
agent2,28,local
agent1,20,local
agent0,33,local
agent2,80,local
agent1,65,local
agent0,41,local
agent2,64,local
agent1,7,local
agent0,59,local
agent2,46,local
agent1,98,local
agent0,13,local
agent1,0,local
agent2,88,local
agent0,88,local
agent0,73,local
agent1,41,local
agent2,41,local
agent0,94,local
agent1,17,local
agent2,10,local
agent0,52,local
agent1,1,local
agent2,98,local
agent0,80,local
agent1,52,local
agent2,94,local
agent0,17,local
agent1,66,local
agent2,72,local
agent0,68,local
agent1,8,local
agent0,60,local
agent2,33,local
agent1,66,local
agent2,53,local
agent0,32,local
agent0,32,global
agent1,15,local
agent2,57,local
agent1,88,local
agent0,55,local
agent2,65,local
agent1,87,local
agent0,29,local
agent2,2,local
agent1,95,local
agent1,95,global
agent0,13,local
agent2,21,local
agent1,25,local
agent0,10,local
agent2,8,local
agent1,14,local
agent0,38,local
agent2,52,local
agent1,39,local
agent0,98,local
agent2,9,local
agent2,9,global
agent1,44,local
agent0,31,local
agent2,58,local
agent1,8,local
agent0,78,local
agent2,52,local
agent1,77,local
agent0,35,local
agent2,25,local
agent1,72,local
agent0,2,local
agent2,0,local
agent1,26,local
agent0,72,local
agent2,48,local
agent1,37,local
agent0,53,local
agent2,43,local
agent1,51,local
agent0,9,local
agent2,79,local
agent1,80,local
agent0,74,local
agent2,64,local
agent1,24,local
agent0,16,local
agent2,39,local
agent1,36,local
agent0,75,local
agent2,76,local
agent1,53,local
agent0,21,local
agent2,2,local
agent1,99,local
agent0,35,local
agent2,57,local
agent1,41,local
agent0,94,local
agent2,99,local
agent1,26,local
agent0,51,local
agent2,32,local
agent1,50,local
agent0,46,local
agent2,87,local
agent1,2,local
agent0,0,local
agent1,6,local
agent2,24,local
agent0,24,local
agent1,91,local
agent2,62,local
agent0,88,local
agent1,37,local
agent2,86,local
agent0,14,local
agent1,94,local
agent2,38,local
agent2,88,local
agent0,71,local
agent1,71,local
agent2,51,local
agent0,92,local
agent1,6,local
agent2,95,local
agent0,46,local
agent1,65,local
agent2,28,local
agent0,12,local
agent1,33,local
agent2,14,local
agent0,2,local
agent1,58,local
agent2,39,local
agent0,12,local
agent1,87,local
agent2,21,local
agent0,78,local
agent1,6,local
agent2,15,local
agent0,69,local
agent1,28,local
agent2,54,local
agent0,92,local
agent1,70,local
agent2,60,local
agent0,12,local
agent1,2,local
agent2,80,local
agent0,20,local
agent1,36,local
agent2,12,local
agent0,40,local
agent1,26,local
agent2,90,local
agent0,11,local
agent1,86,local
agent2,94,local
agent0,44,local
agent1,45,local
agent2,20,local
agent0,77,local
agent1,23,local
agent2,61,local
agent0,46,local
agent1,50,local
agent2,70,local
agent0,11,local
agent1,70,local
agent0,17,local
agent2,65,local
agent1,1,local
agent0,93,local
agent2,10,local
agent1,14,local
agent2,69,local
agent0,87,local
agent1,18,local
agent2,33,local
agent0,89,local
agent1,50,local
agent2,32,local
agent1,66,local
agent0,99,local
agent2,30,local
agent1,42,local
agent0,4,local
agent2,3,local
agent1,30,local
agent0,33,local
agent2,52,local
agent1,47,local
agent0,97,local
agent2,85,local
agent1,72,local
agent0,37,local
agent0,37,global
agent2,92,local
agent1,96,local
agent0,63,local
agent2,53,local
agent1,32,local
agent1,32,global
agent0,13,local
agent2,46,local
agent1,69,local
agent0,75,local
agent2,98,local
agent1,71,local
agent0,25,local
agent2,3,local
agent1,40,local
agent0,66,local
agent2,27,local
agent2,27,global
agent1,27,local
agent0,40,local
agent2,98,local
agent1,69,local
agent0,64,local
agent2,27,local
agent1,87,local
agent2,57,local
agent0,42,local
agent1,7,local
agent2,10,local
agent0,31,local
agent1,80,local
agent2,4,local
agent0,23,local
agent1,37,local
agent1,63,local
agent2,78,local
agent0,89,local
agent2,68,local
agent1,81,local
agent0,56,local
agent2,88,local
agent1,55,local
agent0,2,local
agent2,4,local
agent1,76,local
agent0,86,local
agent2,47,local
agent1,40,local
agent0,45,local
agent2,66,local
agent1,31,local
agent0,38,local
agent2,78,local
agent1,58,local
agent0,32,local
agent2,46,local
agent1,39,local
agent0,20,local
agent2,92,local
agent1,57,local
agent0,72,local
agent2,2,local
agent1,64,local
agent0,23,local
agent2,93,local
agent1,72,local
agent0,33,local
agent2,60,local
agent1,49,local
agent0,91,local
agent2,34,local
agent1,32,local
agent0,45,local
agent2,31,local
agent1,67,local
agent0,79,local
agent2,30,local
agent1,55,local
agent0,58,local
agent2,54,local
agent1,53,local
agent0,80,local
agent2,40,local
agent1,47,local
agent0,63,local
agent2,87,local
agent1,55,local
agent0,86,local
agent2,4,local
agent1,79,local
agent0,92,local
agent2,95,local
agent1,69,local
agent0,70,local
agent2,6,local
agent1,18,local
agent0,74,local
agent2,66,local
agent1,65,local
agent0,34,local
agent2,0,local
agent1,15,local
agent0,81,local
agent2,88,local
agent1,75,local
agent0,39,local
agent2,76,local
agent1,15,local
agent0,78,local
agent2,19,local
agent1,84,local
agent0,82,local
agent2,33,local
agent1,19,local
agent0,83,local
agent2,21,local
agent1,88,local
agent0,16,local
agent2,31,local
agent1,85,local
agent0,94,local
agent2,32,local
agent1,70,local
agent0,87,local
agent2,54,local
agent1,56,local
agent0,9,local
agent2,55,local
agent1,12,local
agent0,23,local
agent2,80,local
agent1,17,local
agent0,98,local
agent2,24,local
agent1,9,local
agent0,93,local
agent2,14,local
agent1,85,local
agent0,44,local
agent2,9,local
agent1,94,local
agent0,24,local
agent2,87,local
agent1,66,local
agent0,51,local
agent2,50,local
agent1,89,local
agent0,49,local
agent2,66,local
agent1,29,local
agent0,56,local
agent2,69,local
agent1,79,local
agent0,92,local
agent2,60,local
agent1,89,local
agent0,97,local
agent0,97,global
agent2,9,local
agent1,91,local
agent1,91,global
agent0,18,local
agent2,91,local
agent1,63,local
agent0,6,local
agent2,15,local
agent1,88,local
agent0,55,local
agent2,85,local
agent1,53,local
agent0,63,local
agent2,0,local
agent2,0,global
agent1,46,local
agent0,15,local
agent2,16,local
agent1,77,local
agent0,79,local
agent2,30,local
agent1,29,local
agent0,0,local
agent2,96,local
agent1,78,local
agent0,97,local
